epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1046.65,0.15939,0.65384,0.8902,0.67104,0.95884,0.87833,0.87833,0.19596,1.04694,0.49888,0.000834822,0.000834822,0.000834822
44,1061.46,0.15842,0.61364,0.89957,0.87355,0.92254,0.97,0.97,0.18571,0.93663,0.50898,0.000820675,0.000820675,0.000820675
45,1075.62,0.16397,0.57358,0.8923,0.94911,0.93333,0.97595,0.97595,0.23041,0.99235,0.55224,0.000806528,0.000806528,0.000806528
46,1089.95,0.1597,0.63408,0.89793,0.95425,0.93333,0.98389,0.97292,0.26108,1.25015,0.56866,0.00079238,0.00079238,0.00079238
47,1103.99,0.15635,0.59564,0.90555,0.98241,0.93731,0.995,0.995,0.22863,1.05104,0.53957,0.000778233,0.000778233,0.000778233
48,1118.79,0.14269,0.61267,0.88707,0.98261,0.93685,0.995,0.995,0.22337,0.8802,0.52128,0.000764086,0.000764086,0.000764086
49,1132.71,0.14711,0.62481,0.90801,0.97727,0.93333,0.98389,0.98389,0.22455,0.81952,0.5252,0.000749939,0.000749939,0.000749939
50,1147.24,0.14623,0.61855,0.8875,0.94196,0.93333,0.97595,0.97595,0.22403,0.79744,0.51459,0.000735792,0.000735792,0.000735792
51,1161.26,0.15254,0.62675,0.93131,0.85958,0.92907,0.97595,0.97595,0.19403,0.83893,0.49707,0.000721645,0.000721645,0.000721645
52,1175.61,0.15515,0.6154,0.89514,0.82498,0.96835,0.97595,0.97595,0.17194,0.85941,0.48235,0.000707498,0.000707498,0.000707498
53,1190.18,0.15603,0.64065,0.89795,0.81396,0.97576,0.97595,0.97595,0.17712,0.8765,0.48355,0.000693351,0.000693351,0.000693351
54,1204.13,0.15056,0.50494,0.8744,0.78545,0.97275,0.97595,0.97595,0.18183,0.93022,0.49062,0.000679204,0.000679204,0.000679204
55,1218.99,0.14829,0.55609,0.91824,0.77617,1,0.97595,0.97595,0.17376,0.98115,0.47873,0.000665057,0.000665057,0.000665057
56,1233.5,0.13927,0.53951,0.92287,0.75975,1,0.97595,0.97595,0.17513,0.88131,0.48354,0.000650909,0.000650909,0.000650909
57,1250.1,0.13414,0.52,0.86131,0.88999,0.99737,0.98389,0.98389,0.15406,0.80072,0.4661,0.000636762,0.000636762,0.000636762
58,1264.96,0.1334,0.53545,0.87793,0.89971,0.98789,0.98389,0.98389,0.14075,0.79495,0.45361,0.000622615,0.000622615,0.000622615
59,1278.92,0.1365,0.48526,0.90982,0.91962,0.99092,0.995,0.995,0.14462,0.83954,0.45173,0.000608468,0.000608468,0.000608468
60,1293.48,0.1331,0.52713,0.89457,0.93392,1,0.995,0.995,0.14022,0.80756,0.44377,0.000594321,0.000594321,0.000594321
61,1307.68,0.13835,0.60825,0.89116,0.9873,1,0.995,0.995,0.14039,0.72847,0.4366,0.000580174,0.000580174,0.000580174
62,1322.08,0.13706,0.51158,0.90666,0.97628,0.94325,0.995,0.995,0.14091,0.6895,0.43666,0.000566027,0.000566027,0.000566027
63,1336.8,0.1216,0.50257,0.90519,0.95462,0.93333,0.98389,0.98389,0.14063,0.68524,0.44276,0.00055188,0.00055188,0.00055188
